"","IWDA.L.Open","IWDA.L.High","IWDA.L.Low","IWDA.L.Close","IWDA.L.Volume","IWDA.L.Adjusted"
"2020-06-18",59.9300003051758,60.8499984741211,58.1100006103516,58.7200012207031,2348887,58.7200012207031
"2020-06-25",59.310001373291,60.9300003051758,58.1100006103516,60.5499992370605,2917963,60.5499992370605
"2020-07-02",60.5999984741211,61.3499984741211,59.9900016784668,60.2700004577637,1341477,60.2700004577637
"2020-07-09",60.1800003051758,62.5,60.1500015258789,61.810001373291,1489161,61.810001373291
"2020-07-16",62.2000007629395,63.4199981689453,61.7000007629395,63.1199989318848,1522315,63.1199989318848
"2020-07-23",62.0299987792969,62.689998626709,61.6100006103516,62.1699981689453,1121498,62.1699981689453
"2020-07-30",62.6800003051758,63.939998626709,61.9799995422363,63.5900001525879,1729687,63.5900001525879
"2020-08-06",63.689998626709,64.9800033569336,63.5699996948242,64.879997253418,1485183,64.879997253418
"2020-08-13",64.7600021362305,65.2799987792969,64.2300033569336,64.6800003051758,877647,64.6800003051758
"2020-08-20",64.9800033569336,66.629997253418,64.25,66.4000015258789,1795231,66.4000015258789
"2020-08-27",66.6800003051758,67.9499969482422,65.620002746582,65.9899978637695,853102,65.9899978637695
"2020-09-03",65.4700012207031,66.25,63.7000007629395,65.1399993896484,1460971,65.1399993896484
"2020-09-10",64.5599975585938,65.8499984741211,64.1500015258789,64.8000030517578,831503,64.8000030517578
"2020-09-17",64.8600006103516,65.0500030517578,61.8800010681152,62.4700012207031,2084043,62.4700012207031
"2020-09-24",62.7599983215332,64.9599990844727,61.9000015258789,64.7600021362305,1318151,64.7600021362305
"2020-10-01",63.9099998474121,65.9499969482422,63.5699996948242,65.7200012207031,802386,65.7200012207031
"2020-10-08",66.0999984741211,67.4000015258789,65.5,65.9300003051758,1301354,65.9300003051758
"2020-10-15",66.3099975585938,66.8100967407227,65.1999969482422,65.5500030517578,1795062,65.5500030517578
"2020-10-22",66.0199966430664,66.2200012207031,62.25,62.8899993896484,1380047,62.8899993896484
"2020-10-30",62,67.3399963378906,61.8600006103516,67.1500015258789,3253379,67.1500015258789
"2020-11-06",66.9199981689453,70.7300033569336,66.3600006103516,68.5299987792969,2822350,68.5299987792969
"2020-11-13",68.2799987792969,69.9800033569336,68.25,69.0199966430664,2784942,69.0199966430664
"2020-11-20",69.4300003051758,70.75,69.0199966430664,70.5100021362305,2228108,70.5100021362305
"2020-11-27",70.5699996948242,71.5599975585938,69.9800033569336,71.5,1628673,71.5
"2020-12-04",71.4499969482422,72.3399963378906,71,71.6399993896484,2872779,71.6399993896484
"2020-12-11",71.5199966430664,72.879997253418,70.7900009155273,72.7399978637695,1705825,72.7399978637695
"2020-12-18",72.7200012207031,73.0400009155273,70.4000015258789,72.4300003051758,1602657,72.4300003051758
"2020-12-25",72.4300003051758,73.6699981689453,72.4300003051758,73.1500015258789,873386,73.1500015258789
"2021-01-01",73.1500015258789,74.6661987304688,72.4400024414062,74.5599975585938,1563353,74.5599975585938
